Site,Date,Researcher1,Researcher2,Researcher3,Temperature,HumidityPer,TimeStart,TimeEnd,TimeObs,Species,SpCount,behavior,FlowerSpecies,Notes
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,15:32,Midge,1,flying,BluestemGoldenrod,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,15:35,WesternHoneybee,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,15:50,mosquito,1,perched,CommonJewelweed,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,15:54,Oestroidea,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:04,Asian Tiger Mosquito,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:08,Sarcophagidae,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:11,TransverseBandedFlowerFLy,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:13,WesternHoneybee,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:15,AcalyptrateFly,1,perched,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:19,CeleryLeaftierMoth,1,perched,rumex sp.,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:22,GermanYellowjacket,1,flying,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:22,Platycherius sp.,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:27,Lucilia sp.,1,perched,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:27,Geranomyia sp.,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:30,mosquito,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:34,mosquito,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:36,TransverseBandedFlowerFLy,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:37,SpottedLanternfly,1,perched,DeadTree,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:37,GermanYellowjacket,1,flying,JapaneseHoneysuckle,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:38,TransverseBandedFlowerFLy,1,flying,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:43,Anthomyiidae,1,perched,AmericanPokeweed,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:43,CommonEasternBumblebee,1,pollinating,CommonBlueWoodAster,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:43,CommonEasternBumblebee,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:49,CommonEasternBumblebee,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:50,Tipulomorpha,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:53,WesternHoneybee,1,pollinating,WhiteSnakeroot,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,16:53,CommonEasternBumblebee,3,pollinating,CommonBlueWoodAster,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,17:03,CommonEasternBumblebee,2,pollinating,CommonBlueWoodAster,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,17:06,Aphid,1,NA,milkweed,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,17:14,CommonEasternBumblebee,5,pollinating,CommonBlueWoodAster,
HighbridgePark,2023-10-13,Gaia,Val,NA,20.6,45.5,15:30,17:00,17:18,MilkweedBug,1,perched,milkweed,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,9:50,CommonEasternBumblebee,1,pollinating,Symphotrichum sp.,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,9:51,EupodesAmericanus,1,pollinating,Symphotrichum sp.,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,9:52,GermanYellowjacket,1,flying,Symphotrichum sp.,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:01,CommonEasternBumblebee,1,pollinating,CommonBlueWoodAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:05,Pollenia sp.,1,perched,CommonBlueWoodAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:24,AutumnMeadowhawk,1,perched,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:25,EasternYellowjacket,1,perched,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:25,Pollenia sp.,6,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:25,Syrphini,1,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:29,CommonDroneFly,1,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:30,WesternHoneybee,1,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:32,CommonEasternBumblebee,1,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:33,EupodesAmericanus,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:34,SpottedLanternfly,1,perched,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:42,Caliphora sp.,1,perched,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:42,SevenSpottedLadyBeetle,2,perched,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:55,EupodesAmericanus,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:57,WesternHoneybee,1,flying,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:58,CommonDroneFly,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:58,Delphinia sp.,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:59,WesternHoneybee,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,10:59,Caliphora sp.,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:01,Lucilia sp.,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:01,EasternCaligrapher,1,pollinating,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:20,WesternHoneybee,20,pollinating,AromaticAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:20,CommonDroneFly,1,pollinating,AromaticAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:31,GermanYellowjacket,1,flying,WhiteSnakeroot,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:45,Diptera,1,flying,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:45,WesternHoneybee,1,pollinating,NewEnglandAster,
MorningsidePark,2023-11-11,Gaia,Han,NA,14.6,42,9:40,11:57,11:45,Syrphini,1,pollinating,NewEnglandAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:01,WesternHoneybee,3,pollinating,Centaurea sp.,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:05,GermanYellowjacket,1,flying,Centaurea sp.,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:16,WesternHoneybee,1,pollinating,HairyWhiteOldfieldAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:23,EupodesAmericanus,1,perched,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:24,WesternHoneybee,2,pollinating,HairyWhiteOldfieldAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:25,Pollenia sp.,1,pollinating,HairyWhiteOldfieldAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:27,BrownBeltedBumblebee,1,pollinating,RedClover,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:32,Lucilia sp.,1,perched,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:32,AutumnMeadowhawk,1,perched,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:33,Muscoidea,1,pollinating,HairyWhiteOldfieldAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:34,WesternHoneybee,3,pollinating,Centaurea sp.,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:35,NarrowHeadedMarshFly,1,pollinating,HairyWhiteOldfieldAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:54,WesternHoneybee,3,pollinating,Centaurea sp.,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,12:56,SweatBee,1,pollinating,Centaurea sp.,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,13:22,WesternHoneybee,3,pollinating,NewEnglandAster,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,11:35,13:41,13:24,NarrowHeadedMarshFly,1,pollinating,NewEnglandAster,